Name,Base,Category,Files & media,Description,System
AActor,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
AAIController,AController (Reference%201378d590ff388064a157f911a958c504/AController%201378d590ff3880598552d9da6d7d1474.html),Class,,,
ACharacter,APawn (Reference%201378d590ff388064a157f911a958c504/APawn%201378d590ff38808cb58bc687d74771e4.html),Class,,,
AController,AActor (Reference%201378d590ff388064a157f911a958c504/AActor%201378d590ff38800d88b2cf3de65abc6a.html),Class,,,
AFieldSystemActor,AActor (Reference%201378d590ff388064a157f911a958c504/AActor%201378d590ff38800d88b2cf3de65abc6a.html),Class,,,
AGameMode,AGameModeBase (Reference%201378d590ff388064a157f911a958c504/AGameModeBase%201868d590ff38802a9c8cef5c61fbfad1.html),Class,,,
AGameModeBase,,Class,,,
AGameSession,,Class,,,
AGameStateBase,,Class,,,
AHUD,AActor (Reference%201378d590ff388064a157f911a958c504/AActor%201378d590ff38800d88b2cf3de65abc6a.html),Class,,,UI
APawn,AActor (Reference%201378d590ff388064a157f911a958c504/AActor%201378d590ff38800d88b2cf3de65abc6a.html),Class,,,
APlayerController,AController (Reference%201378d590ff388064a157f911a958c504/AController%201378d590ff3880598552d9da6d7d1474.html),Class,,,
APlayerState,,Class,,,
checkf,,Macro,,,
Delegates,,,,,
DrawDebugHelpers,,,,,
FActorTickFunction,,Struct,,Tick function that calls AActor::TickActor,
FAggregatorEvaluateParameters,,Struct,,,GAS
FColor,,,,,
FGameplayAbilitySpec,,Struct,,,GAS
FGameplayAbilitySpecHandle,,Struct,,,GAS
FGameplayAttribute,,Struct,,,
FGameplayEffectAttributeCaptureDefinition,,Struct,,,
"FGameplayEffectContextHandle ",,Struct,,,GAS
FGameplayEffectCustomExecutionParameters,,Struct,,,
FGameplayEffectModifierMagnitude,,Struct,,,
FGameplayEffectSpec,,Struct,,,
FGameplayEffectSpecHandle,,Struct,,,
FGameplayEventData,,Struct,,,
FGameplayModifierInfo,,Struct,,,
FGameplayTag,,Struct,,,
FGameplayTagContainer,,Struct,,,
FInputModeGameAndUI,,Struct,,"Data structure used to setup an input mode that allows the UI to respond to user input, and if the UI doesn't handle it player input / player controller gets a chance.",
FMath,,,,,
FName,,Class,,,
FOnlineSession,,Class,,,
FOnlineSessionSearch,,Class,,,
FOnlineSessionSearchResult,,Class,,,
FOnlineSessionSettings,,Class,,,
FRotator,,,,,
FScalableFloat,,Struct,,Generic numerical value in the form Value * Curve[Level],
FScopedAbilityListLock,,Struct,,,
FString,,,,,
FTransform,,,,,
FVector,,,,,
Gameplay Cue,,Class,,,
IAbilitySystemInterface,,Interface,,,
IOnlineSession,,Interface,,,
IOnlineSubsystem,,Interface,,,
TArray,,Class,,,
TEXT ,,Macro,,"In Unreal Engine, string literals need to be wrapped with the TEXT macro to ensure cross-platform compatibility.",
TMulticastDelegate,,Class,,,
TMulticastDelegateBase,,Class,,,
TObjectPtr,,,,,
TSharedPtr,,,,,
TSharedPtr,,Class,,,
TVector,,Struct,,,
UAbilitySystemBlueprintLibrary,UBlueprintFunctionLibrary (Reference%201378d590ff388064a157f911a958c504/UBlueprintFunctionLibrary%201378d590ff38807abacbffc943347ae7.html),Class,,,GAS
UAbilitySystemComponent,UGameplayTasksComponent (Reference%201378d590ff388064a157f911a958c504/UGameplayTasksComponent%2013f8d590ff388048a478d8d3bd55dd55.html),Class,,,GAS
UAbilityTask,,Class,,,GAS
UAbilityTask_PlayMontageAndWait,UAbilityTask (Reference%201378d590ff388064a157f911a958c504/UAbilityTask%201898d590ff388085ad9dcfa0ebe6de87.html),Class,,,GAS
UAbilityTask_WaitGameplayEvent,,Class,,,GAS
UActorComponent,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
UAnimInstance,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
UAnimMontage,,Class,,,
UAnimNotify,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
UAnimNotifyState,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
UArrowComponent,,Class,,,
UAssetManager,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
UAttributeSet,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,GAS
UAudioComponent,,Class,,,
UBehaviorTreeComponent,,Class,,,AI
UBlackboardComponent,,Class,,,AI
UBlueprintAsyncActionBase,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,Reference%201378d590ff388064a157f911a958c504/Screenshot_2025-01-22_104015.png,"Allows you to create asynchronous Blueprint nodes. These nodes can perform operations that don't block the main thread, such as networking tasks, file I/O, or waiting for a specific event. ",
UBlueprintFunctionLibrary,,Class,,,
